Date : 2026-01-01 23:54:40
Directory : c:\Code\angular\pdx-map\src
Total : 182 files,  16046 codes, 562 comments, 2193 blanks, all 18801 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        131 |     12,787 |        507 |      1,812 |     15,106 |
| SCSS       |         26 |      2,297 |         35 |        351 |      2,683 |
| HTML       |         25 |        962 |         20 |         30 |      1,012 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |        182 |     16,046 |        562 |      2,193 |     18,801 |
| . (Files)                                                                            |          5 |        150 |         18 |         20 |        188 |
| app                                                                                  |        107 |     10,680 |        153 |      1,425 |     12,258 |
| app (Files)                                                                          |          7 |        153 |          0 |         26 |        179 |
| app\alliancehelper                                                                   |          4 |        536 |          5 |         66 |        607 |
| app\discord-field                                                                    |          3 |         87 |          0 |         16 |        103 |
| app\discord-login                                                                    |          3 |         92 |          0 |         16 |        108 |
| app\gauge                                                                            |          4 |        208 |          2 |         38 |        248 |
| app\jomini-kiosk                                                                     |          3 |        221 |          1 |         32 |        254 |
| app\lab                                                                              |          4 |         27 |          0 |         13 |         40 |
| app\lineviewer                                                                       |          9 |        792 |          3 |        131 |        926 |
| app\lineviewer (Files)                                                               |          4 |        549 |          3 |         87 |        639 |
| app\lineviewer\model                                                                 |          5 |        243 |          0 |         44 |        287 |
| app\map                                                                              |          4 |        398 |         10 |         47 |        455 |
| app\map\config                                                                       |          1 |        107 |          9 |         14 |        130 |
| app\map\map                                                                          |          3 |        291 |          1 |         33 |        325 |
| app\mc                                                                               |         20 |      2,794 |         25 |        312 |      3,131 |
| app\mc (Files)                                                                       |          7 |        859 |         13 |        100 |        972 |
| app\mc\mcadmin                                                                       |          3 |        531 |         10 |         51 |        592 |
| app\mc\mcsignup                                                                      |          4 |        514 |          2 |         70 |        586 |
| app\mc\mcstartselect                                                                 |          3 |        555 |          0 |         59 |        614 |
| app\mc\mega-campaign                                                                 |          3 |        335 |          0 |         32 |        367 |
| app\modding                                                                          |          5 |      1,274 |          5 |        164 |      1,443 |
| app\modding\mega-modder                                                              |          5 |      1,274 |          5 |        164 |      1,443 |
| app\paradox                                                                          |          3 |        409 |         19 |         57 |        485 |
| app\plot-view                                                                        |          6 |        743 |         39 |         99 |        881 |
| app\plot-view (Files)                                                                |          5 |        732 |         39 |         98 |        869 |
| app\plot-view\plot                                                                   |          1 |         11 |          0 |          1 |         12 |
| app\resourcemap                                                                      |          4 |        345 |          0 |         48 |        393 |
| app\save-view                                                                        |          3 |        226 |          1 |         27 |        254 |
| app\save-view-splash                                                                 |          3 |        471 |         10 |         68 |        549 |
| app\saveana                                                                          |          3 |        113 |          6 |         15 |        134 |
| app\saveana\ck3-save-view                                                            |          3 |        113 |          6 |         15 |        134 |
| app\slab-map-view                                                                    |          5 |        270 |          0 |         34 |        304 |
| app\timer                                                                            |          3 |         78 |          0 |         11 |         89 |
| app\vic3-country-table                                                               |          3 |        354 |          1 |         47 |        402 |
| app\viewers                                                                          |          8 |      1,089 |         26 |        158 |      1,273 |
| app\viewers\polygon-select                                                           |          8 |      1,089 |         26 |        158 |      1,273 |
| model                                                                                |         46 |      2,943 |        375 |        503 |      3,821 |
| model (Files)                                                                        |          2 |        174 |          5 |         32 |        211 |
| model\ck3                                                                            |         20 |      1,003 |        323 |        195 |      1,521 |
| model\ck3 (Files)                                                                    |         13 |        664 |        311 |        143 |      1,118 |
| model\ck3\enum                                                                       |          2 |         19 |          0 |          0 |         19 |
| model\ck3\save                                                                       |          2 |        188 |         12 |         26 |        226 |
| model\ck3\title                                                                      |          3 |        132 |          0 |         26 |        158 |
| model\common                                                                         |          2 |         33 |          0 |          5 |         38 |
| model\eu4                                                                            |          3 |        143 |          0 |         30 |        173 |
| model\social                                                                         |          1 |         27 |          0 |          4 |         31 |
| model\vic                                                                            |         18 |      1,563 |         47 |        237 |      1,847 |
| model\vic (Files)                                                                    |         13 |      1,398 |         47 |        203 |      1,648 |
| model\vic\enum                                                                       |          2 |         13 |          0 |          4 |         17 |
| model\vic\game                                                                       |          3 |        152 |          0 |         30 |        182 |
| saveana                                                                              |          1 |        119 |          2 |          7 |        128 |
| services                                                                             |          9 |      1,257 |          6 |        129 |      1,392 |
| services (Files)                                                                     |          4 |        496 |          5 |         68 |        569 |
| services\api                                                                         |          1 |         31 |          0 |          5 |         36 |
| services\configuration                                                               |          2 |        419 |          0 |         29 |        448 |
| services\gamedata                                                                    |          2 |        311 |          1 |         27 |        339 |
| styles                                                                               |          1 |        105 |          2 |         20 |        127 |
| util                                                                                 |         13 |        792 |          6 |         89 |        887 |
| util (Files)                                                                         |          4 |        169 |          5 |         26 |        200 |
| util\geometry                                                                        |          1 |        446 |          1 |         44 |        491 |
| util\table                                                                           |          8 |        177 |          0 |         19 |        196 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                             | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Code\angular\pdx-map\src\app\SideNavContentProvider.ts                            | TypeScript |         38 |          0 |         11 |         49 |
| c:\Code\angular\pdx-map\src\app\alliancehelper\alliancehelper.component.html         | HTML       |         52 |          0 |          1 |         53 |
| c:\Code\angular\pdx-map\src\app\alliancehelper\alliancehelper.component.scss         | SCSS       |        249 |          4 |         35 |        288 |
| c:\Code\angular\pdx-map\src\app\alliancehelper\alliancehelper.component.spec.ts      | TypeScript |         18 |          0 |          6 |         24 |
| c:\Code\angular\pdx-map\src\app\alliancehelper\alliancehelper.component.ts           | TypeScript |        217 |          1 |         24 |        242 |
| c:\Code\angular\pdx-map\src\app\app.component.html                                   | HTML       |          1 |          0 |          0 |          1 |
| c:\Code\angular\pdx-map\src\app\app.component.scss                                   | SCSS       |          5 |          0 |          0 |          5 |
| c:\Code\angular\pdx-map\src\app\app.component.ts                                     | TypeScript |         21 |          0 |          4 |         25 |
| c:\Code\angular\pdx-map\src\app\app.config.ts                                        | TypeScript |         13 |          0 |          2 |         15 |
| c:\Code\angular\pdx-map\src\app\app.routes.ts                                        | TypeScript |         28 |          0 |          1 |         29 |
| c:\Code\angular\pdx-map\src\app\discord-field\discord-field.component.html           | HTML       |         12 |          0 |          1 |         13 |
| c:\Code\angular\pdx-map\src\app\discord-field\discord-field.component.scss           | SCSS       |         41 |          0 |          8 |         49 |
| c:\Code\angular\pdx-map\src\app\discord-field\discord-field.component.ts             | TypeScript |         34 |          0 |          7 |         41 |
| c:\Code\angular\pdx-map\src\app\discord-login\discord-login.component.html           | HTML       |         12 |          0 |          0 |         12 |
| c:\Code\angular\pdx-map\src\app\discord-login\discord-login.component.scss           | SCSS       |         45 |          0 |          8 |         53 |
| c:\Code\angular\pdx-map\src\app\discord-login\discord-login.component.ts             | TypeScript |         35 |          0 |          8 |         43 |
| c:\Code\angular\pdx-map\src\app\gauge\gauge.component.html                           | HTML       |          3 |          0 |          1 |          4 |
| c:\Code\angular\pdx-map\src\app\gauge\gauge.component.scss                           | SCSS       |         13 |          0 |          1 |         14 |
| c:\Code\angular\pdx-map\src\app\gauge\gauge.component.spec.ts                        | TypeScript |         18 |          0 |          6 |         24 |
| c:\Code\angular\pdx-map\src\app\gauge\gauge.component.ts                             | TypeScript |        174 |          2 |         30 |        206 |
| c:\Code\angular\pdx-map\src\app\jomini-kiosk\jomini-kiosk.component.html             | HTML       |         40 |          0 |          2 |         42 |
| c:\Code\angular\pdx-map\src\app\jomini-kiosk\jomini-kiosk.component.scss             | SCSS       |         98 |          0 |         16 |        114 |
| c:\Code\angular\pdx-map\src\app\jomini-kiosk\jomini-kiosk.component.ts               | TypeScript |         83 |          1 |         14 |         98 |
| c:\Code\angular\pdx-map\src\app\lab\lab.component.html                               | HTML       |          0 |          0 |          1 |          1 |
| c:\Code\angular\pdx-map\src\app\lab\lab.component.scss                               | SCSS       |          0 |          0 |          1 |          1 |
| c:\Code\angular\pdx-map\src\app\lab\lab.component.spec.ts                            | TypeScript |         18 |          0 |          6 |         24 |
| c:\Code\angular\pdx-map\src\app\lab\lab.component.ts                                 | TypeScript |          9 |          0 |          5 |         14 |
| c:\Code\angular\pdx-map\src\app\lineviewer\LinePlotterService.ts                     | TypeScript |        283 |          3 |         53 |        339 |
| c:\Code\angular\pdx-map\src\app\lineviewer\lineviewer.component.html                 | HTML       |         59 |          0 |          1 |         60 |
| c:\Code\angular\pdx-map\src\app\lineviewer\lineviewer.component.scss                 | SCSS       |         78 |          0 |         11 |         89 |
| c:\Code\angular\pdx-map\src\app\lineviewer\lineviewer.component.ts                   | TypeScript |        129 |          0 |         22 |        151 |
| c:\Code\angular\pdx-map\src\app\lineviewer\model\Eu4SaveDataFacade.ts                | TypeScript |        117 |          0 |         22 |        139 |
| c:\Code\angular\pdx-map\src\app\lineviewer\model\Eu4SaveSeriesData.ts                | TypeScript |        108 |          0 |         17 |        125 |
| c:\Code\angular\pdx-map\src\app\lineviewer\model\LineAccessor.ts                     | TypeScript |          6 |          0 |          1 |          7 |
| c:\Code\angular\pdx-map\src\app\lineviewer\model\LineViewerData.ts                   | TypeScript |          6 |          0 |          4 |         10 |
| c:\Code\angular\pdx-map\src\app\lineviewer\model\LineableEntity.ts                   | TypeScript |          6 |          0 |          0 |          6 |
| c:\Code\angular\pdx-map\src\app\map.service.ts                                       | TypeScript |         47 |          0 |          8 |         55 |
| c:\Code\angular\pdx-map\src\app\map\config\MapDataProvider.ts                        | TypeScript |        107 |          9 |         14 |        130 |
| c:\Code\angular\pdx-map\src\app\map\map\map.component.html                           | HTML       |          1 |          0 |          0 |          1 |
| c:\Code\angular\pdx-map\src\app\map\map\map.component.scss                           | SCSS       |         69 |          0 |         10 |         79 |
| c:\Code\angular\pdx-map\src\app\map\map\map.component.ts                             | TypeScript |        221 |          1 |         23 |        245 |
| c:\Code\angular\pdx-map\src\app\mc\AssignmentService.ts                              | TypeScript |        145 |          3 |         20 |        168 |
| c:\Code\angular\pdx-map\src\app\mc\MCSignupService.ts                                | TypeScript |        188 |          1 |         24 |        213 |
| c:\Code\angular\pdx-map\src\app\mc\MegaCampaign.ts                                   | TypeScript |         31 |          0 |          8 |         39 |
